model,group,scheme,benchmark,acc_before,acc_after,delta,pred,lo,hi,inside_90
RedHatAI/DeepSeek-R1-Distill-Qwen-14B-quantized.w4a16,deepseek-r1-distill,w4a16,arc_challenge,58.79,58.28,-0.51,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/Llama-4-Scout-17B-16E-Instruct-FP8-dynamic,llama-4,fp8_dynamic,truthfulqa,61.41,60.9,-0.51,-0.047700000000000006,-1.44,1.3445999999999998,True
RedHatAI/Qwen3-30B-A3B-quantized.w4a16,qwen3-30b-a3b,w4a16,gpqa,62.63,62.12,-0.51,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w4a16,deepseek-r1-distill,w4a16,humaneval,49.9,49.4,-0.5,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/gemma-3-12b-it-quantized.w8a8,gemma-3,w8a8_int,mmlu,72.15,71.65,-0.5,-0.3202577319587629,-1.71,1.069484536082474,True
RedHatAI/DeepSeek-R1-Distill-Qwen-32B-quantized.w4a16,deepseek-r1-distill,w4a16,hellaswag,83.8,83.32,-0.48,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/Qwen3-30B-A3B-FP8-dynamic,qwen3-30b-a3b,fp8_dynamic,winogrande,66.77,66.3,-0.47,-0.047700000000000006,-1.44,1.3445999999999998,True
RedHatAI/SmolLM-1.7B-Instruct-quantized.w8a8,smollm,w8a8_int,winogrande,61.01,60.54,-0.47,-0.3202577319587629,-1.71,1.069484536082474,True
RedHatAI/gemma-3-27b-it-quantized.w8a8,gemma-3,w8a8_int,truthfulqa,62.2,61.73,-0.47,-0.3202577319587629,-1.71,1.069484536082474,True
RedHatAI/gemma-3-27b-it-quantized.w4a16,gemma-3,w4a16,gsm8k,92.12,91.66,-0.46,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,llama-4,w4a16,math_lvl5,57.78,57.33,-0.45,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Qwen-7B-quantized.w8a8,deepseek-r1-distill,w8a8_int,mmlu,54.19,53.76,-0.43,-0.3202577319587629,-1.71,1.069484536082474,True
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,llama-4,w4a16,ifeval,86.9,86.47,-0.43,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/Qwen3-30B-A3B-quantized.w4a16,qwen3-30b-a3b,w4a16,arc_challenge,63.4,62.97,-0.43,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Llama-70B-quantized.w4a16,deepseek-r1-distill,w4a16,hellaswag,84.85,84.43,-0.42,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Qwen-1.5B-quantized.w4a16,deepseek-r1-distill,w4a16,ifeval,34.63,34.21,-0.42,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Qwen-32B-quantized.w4a16,deepseek-r1-distill,w4a16,bbh,57.96,57.54,-0.42,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Qwen-1.5B-quantized.w4a16,deepseek-r1-distill,w4a16,mmlu,37.38,36.98,-0.4,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/gemma-3-4b-it-FP8-dynamic,gemma-3,fp8_dynamic,mmlu,58.38,57.98,-0.4,-0.047700000000000006,-1.44,1.3445999999999998,True
RedHatAI/gemma-3-12b-it-quantized.w8a8,gemma-3,w8a8_int,gsm8k,88.1,87.72,-0.38,-0.3202577319587629,-1.71,1.069484536082474,True
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,llama-4,w4a16,bbh,65.13,64.78,-0.35,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Llama-70B-quantized.w4a16,deepseek-r1-distill,w4a16,arc_challenge,63.65,63.31,-0.34,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Qwen-7B-quantized.w8a8,deepseek-r1-distill,w8a8_int,hellaswag,61.9,61.62,-0.28,-0.3202577319587629,-1.71,1.069484536082474,True
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,llama-4,w4a16,hellaswag,85.23,84.95,-0.28,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
