model,base_model,family,params_b,is_instruct,scheme,weight_bits,act_bits,num_type,method,benchmark,n_items,acc_before,acc_after,delta,orient_src,verified
RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,w8a8_int,8,8,int,unknown,humaneval_plus,164,78.4,78.6,0.2,arith,1
RedHatAI/Meta-Llama-3.1-405B-FP8,Meta-Llama-3.1-405B,llama-3.1,405.0,0,fp8,8,8,fp,rtn,arc_challenge,1172,95.99,95.82,-0.17,arith,1
RedHatAI/Meta-Llama-3.1-405B-FP8,Meta-Llama-3.1-405B,llama-3.1,405.0,0,fp8,8,8,fp,rtn,gsm8k,1319,88.1,87.94,-0.16,arith,1
RedHatAI/Meta-Llama-3.1-405B-FP8,Meta-Llama-3.1-405B,llama-3.1,405.0,0,fp8,8,8,fp,rtn,hellaswag,10042,90.02,89.14,-0.88,arith,1
RedHatAI/Meta-Llama-3.1-405B-FP8,Meta-Llama-3.1-405B,llama-3.1,405.0,0,fp8,8,8,fp,rtn,winogrande,1267,87.61,86.42,-1.19,arith,1
RedHatAI/Meta-Llama-3.1-405B-FP8,Meta-Llama-3.1-405B,llama-3.1,405.0,0,fp8,8,8,fp,rtn,truthfulqa,817,49.83,47.93,-1.9,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-FP8-dynamic,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,fp8_dynamic,8,8,fp,rtn,arena_hard,500,67.4,66.7,-0.7,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-FP8-dynamic,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,fp8_dynamic,8,8,fp,rtn,mmlu,14042,87.4,87.5,0.1,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-FP8-dynamic,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,fp8_dynamic,8,8,fp,rtn,mmlu_cot,14042,88.1,88.1,0.0,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-FP8-dynamic,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,fp8_dynamic,8,8,fp,rtn,arc_challenge,1172,95.0,95.0,0.0,arith,1
RedHatAI/Meta-Llama-3.1-405B-Instruct-FP8-dynamic,Meta-Llama-3.1-405B-Instruct,llama-3.1,405.0,1,fp8_dynamic,8,8,fp,rtn,gsm8k,1319,96.0,95.8,-0.2,arith,1
